label,dd_moderate,dd_severe,scale_moderate,scale_severe,recover_dd,step_up,rebal_cost_bps,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,avg_scale,median_scale,min_scale,share_below_1,share_at_severe_scale,avg_turnover,annualized_turnover,moderate_or_worse_share,severe_share,recovery_band_share,n_scale_changes
dd5_9_sc85_70_rec30_step10,0.05,0.09,0.85,0.7,0.03,0.01,2.0,0.23123428162691084,0.09870168926483926,2.3427591092838975,-0.12415988693463931,27.95846812204034,2010-02-02,2026-04-09,3928,0.9369857433808553,1.0,0.7,0.3803462321792261,0.05168024439918534,0.001822810590631365,0.45934826883910396,0.41140529531568226,0.05168024439918534,0.16369653767820774,381
dd5_10_sc85_70_rec30_step20,0.05,0.1,0.85,0.7,0.03,0.02,2.0,0.23434352208491438,0.10004437851003664,2.3423957005380824,-0.1285875947308529,29.164699186288534,2010-02-02,2026-04-09,3928,0.9446308553971486,1.0,0.7,0.35005091649694503,0.03411405295315682,0.0015529531568228107,0.3913441955193483,0.41878818737270873,0.03411405295315682,0.17464358452138493,180
dd5_10_sc85_75_rec30_step10,0.05,0.1,0.85,0.75,0.03,0.01,2.0,0.23364233589456762,0.09974596382678616,2.342373835800506,-0.12784490858476727,28.888627437756462,2010-02-02,2026-04-09,3928,0.9440376782077393,1.0,0.75,0.37780040733197556,0.033859470468431775,0.0013721995926680246,0.3457942973523422,0.40911405295315684,0.033859470468431775,0.1670061099796334,282
dd5_8_sc85_70_rec30_step20,0.05,0.08,0.85,0.7,0.03,0.02,2.0,0.23164787006175835,0.09890567542261906,2.3421089747573984,-0.12217281991722173,28.116268556829706,2010-02-02,2026-04-09,3928,0.9356008146639511,1.0,0.7,0.35234215885947046,0.07535641547861507,0.00254582484725051,0.6415478615071285,0.4218431771894094,0.07535641547861507,0.17184317718940936,296
dd5_9_sc85_70_rec40_step20,0.05,0.09,0.85,0.7,0.04,0.02,2.0,0.2340882272052105,0.09997075210335006,2.3415671311866233,-0.1261738499798688,29.063908441039413,2010-02-02,2026-04-09,3928,0.9445850305498982,1.0,0.7,0.3324847250509165,0.051934826883910386,0.002449083503054991,0.6171690427698577,0.32942973523421587,0.051934826883910386,0.07306517311608961,290
dd5_10_sc85_75_rec40_step10,0.05,0.1,0.85,0.75,0.04,0.01,2.0,0.2347231044000544,0.10024248368993766,2.3415531594975425,-0.12784490858476716,29.31514502810567,2010-02-02,2026-04-09,3928,0.9480728105906313,1.0,0.75,0.3640529531568228,0.033859470468431775,0.001652240325865581,0.4163645621181264,0.32408350305498984,0.033859470468431775,0.07917515274949083,343
dd5_9_sc85_75_rec40_step10,0.05,0.09,0.85,0.75,0.04,0.01,2.0,0.23362544836951993,0.09982219480467469,2.3404158646948443,-0.12636019838575885,28.88200779055505,2010-02-02,2026-04-09,3928,0.9449261710794298,1.0,0.75,0.36685336048879835,0.051171079429735235,0.001973014256619145,0.49719959266802455,0.32561099796334014,0.051171079429735235,0.07790224032586558,418
dd5_10_sc85_75_rec30_step20,0.05,0.1,0.85,0.75,0.03,0.02,2.0,0.23474722140948145,0.10031306483619651,2.3401460397287788,-0.1292877809690025,29.3247274474676,2010-02-02,2026-04-09,3928,0.946596232179226,1.0,0.75,0.35005091649694503,0.03411405295315682,0.001463849287169043,0.36889002036659885,0.4185336048879837,0.03411405295315682,0.17464358452138493,171
dd5_10_sc85_70_rec40_step20,0.05,0.1,0.85,0.7,0.04,0.02,2.0,0.2352046872701672,0.10050893193278443,2.340137167385888,-0.12858759473085346,29.507031586111957,2010-02-02,2026-04-09,3928,0.9490147657841139,1.0,0.7,0.3281568228105906,0.03411405295315682,0.0019450101832993896,0.4901425661914462,0.3276476578411405,0.03411405295315682,0.07484725050916496,226
dd5_8_sc85_80_rec30_step20,0.05,0.08,0.85,0.8,0.03,0.02,2.0,0.23478233693765405,0.10034155254853577,2.339831614864525,-0.12763828649491027,29.338684993266753,2010-02-02,2026-04-09,3928,0.9462270875763746,1.0,0.8,0.35030549898167007,0.07331975560081466,0.001680244399185336,0.4234215885947047,0.41827902240325865,0.07331975560081466,0.17286150712830958,213
